Meses;* S / I / V;0-19;20-29;30-39;40-49;50-59;60-69;70-79;80-89;90-99;100-109;110-119;120-129;130-139;140-199
jan/17;7.910;927;96;146;1.417;46.385;401.816;498.568;7.589;290;145;55;17;2;2
fev/17;6.779;696;2.055;3.081;5.423;56.785;420.454;461.829;6.492;253;112;46;10;5;2
mar/17;9.429;3.887;7.678;8.006;8.110;60.100;450.261;554.796;9.239;320;143;53;29;5;0
abr/17;6.619;609;1.781;3.284;4.954;46.079;373.088;497.548;9.001;335;142;81;24;8;4
mai/17;10.711;1.666;4.085;4.813;5.418;53.776;444.341;545.379;8.840;315;146;61;23;3;7
jun/17;13.363;1.626;4.455;4.794;5.129;49.489;423.000;523.715;8.049;299;115;71;21;4;1
jul/17;38.093;36;234;514;1.727;52.811;405.424;316.903;4.587;131;39;16;1;2;0
ago/17;40.644;162;692;2.010;4.003;71.457;473.218;321.975;5.017;116;33;11;5;0;1
set/17;36.561;606;1.899;1.657;2.695;63.817;432.841;311.457;4.380;117;55;14;5;1;0
out/17;34.150;920;3.838;5.530;6.739;63.160;446.596;373.459;5.591;161;83;17;12;2;2
nov/17;12.233;925;4.146;6.728;9.423;81.708;496.251;477.017;6.153;252;109;50;21;4;3
dez/17;6.927;238;834;1.800;4.479;75.178;439.613;388.655;3.880;209;90;49;13;3;2
